name_n,static_APIs,label
npm,"from, from, from, from, from, from, from, Buffer, Buffer, Buffer, from, from, from, from, from, from, from, from, from, from, from, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, from, Buffer, Buffer, Buffer, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, Buffer, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, Buffer, Buffer, Buffer, Buffer, from, from, from, from, from, from, from, from, readFile, readFile, readFileSync, readdir, readFile, readFileSync, readdir, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readdir, readFile, readFileSync, readFileSync, readdir, readdirSync, readdir, readFileSync, readSync, readSync, read, read, read, readFile, readFile, readFile, readFile, readFile, readFile, readFile, readFile, readFileSync, readSync, readFileSync, readFileSync, copyFile, copyFileSync, copyFile, copyFileSync, copyFile, get, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, Proxy, ",0
express-session,"from, ",0
acorn,"readFileSync, ",0
gulp-eslint,"from, ",0
cookie-signature,"from, from, ",0
electron,"readFileSync, ",0
redux-saga,"Proxy, ",0
joi,"from, ",0
gatsby-plugin-offline,"readFileSync, readFileSync, createReadStream, readFileSync, readFileSync, readFileSync, copyFileSync, ",0
nodemon,"readFile, readFileSync, readFile, ",0
node-notifier,"readFileSync, ",0
ember-source,"readFileSync, Proxy, ",0
dotenv,"readFileSync, ",0
require-dir,"readdirSync, ",0
babel-polyfill,"readFileSync, ",0
less,"readFile, readFile, readFile, readFile, readFile, readdirSync, readFileSync, readFile, readFileSync, readFileSync, readFileSync, readFileSync, from, Buffer, ",0
cypress,"Proxy, Proxy, Proxy, Proxy, createReadStream, readdir, readFile, ",0
ts-jest,"from, ",0
postcss,"from, ",0
ip,"Buffer, Buffer, Buffer, Buffer, ",0
pump,"Buffer, ",0
source-map-loader,"from, from, from, ",0
prettier,"from, from, ",0
svgo,"readdirSync, from, from, ",0
selenium-webdriver,"from, write, createReadStream, readdirSync, readFile, readdir, ",0
superagent,"createReadStream, from, ",0
socket.io-client,"connect, ",0
source-map-support,"readFileSync, readFileSync, ",0
require-directory,"readdirSync, ",0
vue-server-renderer,"Proxy, Proxy, runInThisContext, runInNewContext, readFileSync, ",0
chai,"Proxy, Proxy, ",0
compression,"from, ",0
pg,"from, from, from, from, from, from, from, ",0
stylelint,"readFile, readFileSync, readFileSync, ",0
split,"Buffer, readFileSync, createReadStream, readFileSync, createReadStream, ",0
mobx,"Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, ",0
jest-watcher,"from, ",0
react-devtools-core,"Proxy, from, from, from, from, from, ",0
core-js,"readFileSync, ",0
coveralls,"readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, ",0
fs-extra,"copyFile, copyFileSync, readdir, readdirSync, read, read, ",0
express,"from, from, ",0
loader-utils,"from, from, from, ",0
parcel-bundler,"readFile, readFile, readFile, readFile, readFileSync, readFile, readFile, readFile, readFile, readFile, createReadStream, readFile, readFileSync, readFileSync, readFileSync, readFileSync, readFile, readFile, readFile, readFile, readFileSync, readFile, readFile, readFile, readFile, readFile, createReadStream, readFile, readFileSync, readFileSync, readFileSync, readFileSync, instantiateStreaming, instantiate, instantiate, instantiateStreaming, instantiate, instantiate, from, from, ",0
mysql,"from, from, from, from, from, from, createReadStream, ",0
json5,"readFileSync, ",0
postcss-import,"from, ",0
ws,"from, from, from, ",0
gatsby-plugin-manifest,"readFileSync, readFileSync, copyFileSync, ",0
axios,"from, from, ",0
ts-loader,"readFileSync, readFileSync, ",0
buffer,"from, from, from, from, from, from, from, from, ",0
fork-ts-checker-webpack-plugin,"readFileSync, readdirSync, fork, ",0
url-loader,"from, ",0
firebase,"Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, ",0
yeoman-generator,"readFileSync, ",0
readable-stream,"from, from, ",0
ncp,"readFileSync, readdirSync, createReadStream, readdir, ",0
tape,"request, ",0
form-data,"from, from, from, request, request, ",0
gatsby-source-filesystem,"readFile, ",0
mini-css-extract-plugin,"from, from, ",0
uuid,"from, from, from, from, ",0
vinyl,"from, ",0
formidable,"from, from, ",0
crypto-browserify,"Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, ",0
karma-mocha,"readFileSync, ",0
event-stream,"Buffer, readFileSync, createReadStream, ",0
eslint-plugin-vue,"Proxy, ",0
gulp-sourcemaps,"readFileSync, readFileSync, readFileSync, Buffer, Buffer, Buffer, Buffer, ",0
clean-css,"readFileSync, readFileSync, readFileSync, from, ",0
react-scripts,"readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, from, ",0
chance,"Buffer, from, Buffer, from, Buffer, Buffer, from, ",0
react-dev-utils,"from, execSync, execSync, execSync, spawn, spawn, readFileSync, readFileSync, readFileSync, ",0
pug,"readFileSync, readFileSync, ",0
log4js,"readFileSync, write, write, write, ",0
case-sensitive-paths-webpack-plugin,"readdir, ",0
yaml,"from, from, ",0
systemjs,"compileStreaming, compileStreaming, compileStreaming, compileStreaming, ",0
stream-http,"request, from, from, from, from, from, from, ",0
browserify,"readFileSync, readFileSync, readFileSync, createReadStream, createReadStream, createReadStream, createReadStream, readFile, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, createReadStream, readFileSync, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, ",0
workbox-webpack-plugin,"from, ",0
karma,"request, request, readFile, readFileSync, readFileSync, readdirSync, readdirSync, readFile, readFileSync, from, write, ",0
jsonfile,"readFileSync, ",0
browserslist,"readFileSync, readFileSync, readFileSync, ",0
gulp-notify,"createReadStream, createReadStream, createReadStream, createReadStream, createReadStream, ",0
babel-cli,"spawn, readFileSync, readFileSync, ",0
http-signature,"Buffer, ",0
shelljs,"readFileSync, readSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, readFileSync, readdirSync, readdirSync, readSync, readdirSync, readFileSync, readdirSync, readFileSync, readFileSync, Buffer, ",0
cross-spawn,"readSync, ",0
process,"readFileSync, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, ",0
handlebars,"readFileSync, ",0
vue-loader,"readFileSync, ",0
gatsby-transformer-sharp,"readFileSync, ",0
ts-node,"readFileSync, from, from, from, ",0
jest-util,"Proxy, ",0
deep-equal,"Buffer, ",0
follow-redirects,"write, ",0
eventsource,"Buffer, Buffer, from, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, from, from, from, from, Buffer, request, ",0
engine.io,"write, from, from, ",0
iconv-lite,"from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, ",0
uglify-js,"Buffer, Buffer, from, from, readFileSync, ",0
ioredis,"from, from, ",0
gulp-minify-css,"Buffer, ",0
jasmine,"readFileSync, readdirSync, readFileSync, ",0
jszip,"from, Buffer, Buffer, from, Buffer, Buffer, from, Buffer, Buffer, ",0
mockjs,"exec, eval, eval, eval, eval, eval, eval, eval, ",0
http-proxy-middleware,"from, from, ",0
gulp-uglify,"from, ",0
canvas,"readdirSync, from, ",0
web3-utils,"from, from, ",0
mocha,"eval, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, ",0
husky,"copyFileSync, ",0
nock,"from, from, from, from, from, from, from, from, from, from, readFileSync, ",0
react-hot-loader,"eval, readFileSync, ",0
node-forge,"connect, connect, connect, send, send, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, ",0
react-intl,"Proxy, ",0
mysql2,"from, from, from, from, from, from, from, from, from, from, ",0
jasmine-core,"readdirSync, eval, ",0
echarts,"readdirSync, readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, get, from, from, from, from, ",0
gaze,"readdirSync, readdirSync, readdir, ",0
antd,"Proxy, Proxy, Proxy, ",0
nodemailer,"from, from, from, from, from, from, from, from, from, from, from, from, from, createReadStream, write, ",0
tar,"readFileSync, readSync, readSync, read, read, read, from, ",0
eslint-plugin-node,"readFileSync, readdirSync, readFileSync, readdirSync, ",0
eslint-module-utils,"readFileSync, readdirSync, ",0
xo,"readFileSync, readFileSync, readFileSync, Proxy, ",0
winston,"read, read, createReadStream, from, ",0
gulp-replace,"from, from, ",0
svelte,"readFileSync, ",0
figlet,"readFileSync, readFile, readFileSync, readdir, readdirSync, readdir, readFileSync, ",0
webpack-bundle-analyzer,"readFileSync, readFileSync, createReadStream, ",0
karma-coverage,"from, ",0
config,"Proxy, ",0
md5,"Buffer, ",0
postcss-url,"readFile, ",0
sequelize,"Proxy, ",0
jsonwebtoken,"from, from, ",0
rxjs,"send, send, ",0
http-proxy,"write, write, ",0
promise,"readdirSync, readFileSync, readdirSync, readFileSync, readdirSync, readFileSync, readdirSync, readFileSync, ",0
tslint,"readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readSync, readSync, readFileSync, ",0
vue-template-compiler,"Proxy, Proxy, ",0
terser,"from, from, readdirSync, readFileSync, ",0
core-js-pure,"readFileSync, ",0
clone,"Buffer, ",0
bl,"from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, ",0
webpack,"readdir, readdir, readFile, readFileSync, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, Proxy, ",0
http-server,"readdir, readFileSync, readFileSync, readFileSync, ",0
gatsby,"Proxy, Proxy, Proxy, Proxy, Proxy, readFileSync, readFileSync, readFileSync, readdir, readFile, readFile, readFileSync, readFileSync, readFile, readFile, readFileSync, readFileSync, readFile, readFileSync, readFile, readFile, from, from, from, from, ",0
qs,"from, Buffer, ",0
istanbul,"readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFile, createReadStream, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, ",0
mongoose,"readFileSync, readFileSync, readFileSync, from, from, from, from, Proxy, Proxy, ",0
grunt,"readdirSync, readFileSync, readdirSync, ",0
eslint,"Proxy, readdirSync, readdirSync, ",0
jshint,"readFileSync, readdirSync, ",0
node-sass,"createReadStream, createReadStream, createReadStream, createReadStream, createReadStream, createReadStream, createReadStream, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readFileSync, Buffer, Buffer, ",0
safe-buffer,"Buffer, Buffer, Buffer, Buffer, ",0
npm,"from, from, from, from, from, from, from, Buffer, Buffer, Buffer, from, from, from, from, from, from, from, from, from, from, from, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, from, Buffer, Buffer, Buffer, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, Buffer, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, Buffer, Buffer, Buffer, Buffer, from, from, from, from, from, from, from, from, readFile, readFile, readFileSync, readdir, readFile, readFileSync, readdir, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readdir, readFile, readFileSync, readFileSync, readdir, readdirSync, readdir, readFileSync, readSync, readSync, read, read, read, readFile, readFile, readFile, readFile, readFile, readFile, readFile, readFile, readFileSync, readSync, readFileSync, readFileSync, copyFile, copyFileSync, copyFile, copyFileSync, copyFile, get, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, Proxy, ",0
express-session,"from, ",0
acorn,"readFileSync, ",0
gulp-eslint,"from, ",0
cookie-signature,"from, from, ",0
electron,"readFileSync, ",0
redux-saga,"Proxy, ",0
joi,"from, ",0
gatsby-plugin-offline,"readFileSync, readFileSync, createReadStream, readFileSync, readFileSync, readFileSync, copyFileSync, ",0
nodemon,"readFile, readFileSync, readFile, ",0
node-notifier,"readFileSync, ",0
ember-source,"readFileSync, Proxy, ",0
dotenv,"readFileSync, ",0
require-dir,"readdirSync, ",0
babel-polyfill,"readFileSync, ",0
less,"readFile, readFile, readFile, readFile, readFile, readdirSync, readFileSync, readFile, readFileSync, readFileSync, readFileSync, readFileSync, from, Buffer, ",0
cypress,"Proxy, Proxy, Proxy, Proxy, createReadStream, readdir, readFile, ",0
ts-jest,"from, ",0
postcss,"from, ",0
ip,"Buffer, Buffer, Buffer, Buffer, ",0
pump,"Buffer, ",0
source-map-loader,"from, from, from, ",0
prettier,"from, from, ",0
svgo,"readdirSync, from, from, ",0
selenium-webdriver,"from, write, createReadStream, readdirSync, readFile, readdir, ",0
superagent,"createReadStream, from, ",0
socket.io-client,"connect, ",0
source-map-support,"readFileSync, readFileSync, ",0
require-directory,"readdirSync, ",0
vue-server-renderer,"Proxy, Proxy, runInThisContext, runInNewContext, readFileSync, ",0
chai,"Proxy, Proxy, ",0
compression,"from, ",0
pg,"from, from, from, from, from, from, from, ",0
stylelint,"readFile, readFileSync, readFileSync, ",0
split,"Buffer, readFileSync, createReadStream, readFileSync, createReadStream, ",0
mobx,"Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, ",0
jest-watcher,"from, ",0
react-devtools-core,"Proxy, from, from, from, from, from, ",0
core-js,"readFileSync, ",0
coveralls,"readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, ",0
fs-extra,"copyFile, copyFileSync, readdir, readdirSync, read, read, ",0
express,"from, from, ",0
loader-utils,"from, from, from, ",0
parcel-bundler,"readFile, readFile, readFile, readFile, readFileSync, readFile, readFile, readFile, readFile, readFile, createReadStream, readFile, readFileSync, readFileSync, readFileSync, readFileSync, readFile, readFile, readFile, readFile, readFileSync, readFile, readFile, readFile, readFile, readFile, createReadStream, readFile, readFileSync, readFileSync, readFileSync, readFileSync, instantiateStreaming, instantiate, instantiate, instantiateStreaming, instantiate, instantiate, from, from, ",0
mysql,"from, from, from, from, from, from, createReadStream, ",0
json5,"readFileSync, ",0
postcss-import,"from, ",0
ws,"from, from, from, ",0
gatsby-plugin-manifest,"readFileSync, readFileSync, copyFileSync, ",0
axios,"from, from, ",0
ts-loader,"readFileSync, readFileSync, ",0
buffer,"from, from, from, from, from, from, from, from, ",0
fork-ts-checker-webpack-plugin,"readFileSync, readdirSync, fork, ",0
url-loader,"from, ",0
firebase,"Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, Proxy, ",0
yeoman-generator,"readFileSync, ",0
readable-stream,"from, from, ",0
ncp,"readFileSync, readdirSync, createReadStream, readdir, ",0
tape,"request, ",0
form-data,"from, from, from, request, request, ",0
gatsby-source-filesystem,"readFile, ",0
mini-css-extract-plugin,"from, from, ",0
uuid,"from, from, from, from, ",0
vinyl,"from, ",0
formidable,"from, from, ",0
crypto-browserify,"Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, ",0
karma-mocha,"readFileSync, ",0
event-stream,"Buffer, readFileSync, createReadStream, ",0
eslint-plugin-vue,"Proxy, ",0
gulp-sourcemaps,"readFileSync, readFileSync, readFileSync, Buffer, Buffer, Buffer, Buffer, ",0
clean-css,"readFileSync, readFileSync, readFileSync, from, ",0
react-scripts,"readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, from, ",0
chance,"Buffer, from, Buffer, from, Buffer, Buffer, from, ",0
react-dev-utils,"from, execSync, execSync, execSync, spawn, spawn, readFileSync, readFileSync, readFileSync, ",0
pug,"readFileSync, readFileSync, ",0
log4js,"readFileSync, write, write, write, ",0
case-sensitive-paths-webpack-plugin,"readdir, ",0
yaml,"from, from, ",0
systemjs,"compileStreaming, compileStreaming, compileStreaming, compileStreaming, ",0
stream-http,"request, from, from, from, from, from, from, ",0
browserify,"readFileSync, readFileSync, readFileSync, createReadStream, createReadStream, createReadStream, createReadStream, readFile, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, createReadStream, readFileSync, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, ",0
workbox-webpack-plugin,"from, ",0
karma,"request, request, readFile, readFileSync, readFileSync, readdirSync, readdirSync, readFile, readFileSync, from, write, ",0
jsonfile,"readFileSync, ",0
browserslist,"readFileSync, readFileSync, readFileSync, ",0
gulp-notify,"createReadStream, createReadStream, createReadStream, createReadStream, createReadStream, ",0
babel-cli,"spawn, readFileSync, readFileSync, ",0
http-signature,"Buffer, ",0
shelljs,"readFileSync, readSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, readFileSync, readdirSync, readdirSync, readSync, readdirSync, readFileSync, readdirSync, readFileSync, readFileSync, Buffer, ",0
cross-spawn,"readSync, ",0
process,"readFileSync, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, runInNewContext, ",0
handlebars,"readFileSync, ",0
vue-loader,"readFileSync, ",0
gatsby-transformer-sharp,"readFileSync, ",0
ts-node,"readFileSync, from, from, from, ",0
jest-util,"Proxy, ",0
deep-equal,"Buffer, ",0
follow-redirects,"write, ",0
eventsource,"Buffer, Buffer, from, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, from, from, from, from, Buffer, request, ",0
engine.io,"write, from, from, ",0
iconv-lite,"from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, ",0
uglify-js,"Buffer, Buffer, from, from, readFileSync, ",0
ioredis,"from, from, ",0
gulp-minify-css,"Buffer, ",0
jasmine,"readFileSync, readdirSync, readFileSync, ",0
jszip,"from, Buffer, Buffer, from, Buffer, Buffer, from, Buffer, Buffer, ",0
mockjs,"exec, eval, eval, eval, eval, eval, eval, eval, ",0
http-proxy-middleware,"from, from, ",0
gulp-uglify,"from, ",0
canvas,"readdirSync, from, ",0
web3-utils,"from, from, ",0
mocha,"eval, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, ",0
husky,"copyFileSync, ",0
nock,"from, from, from, from, from, from, from, from, from, from, readFileSync, ",0
react-hot-loader,"eval, readFileSync, ",0
node-forge,"connect, connect, connect, send, send, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, ",0
react-intl,"Proxy, ",0
mysql2,"from, from, from, from, from, from, from, from, from, from, ",0
jasmine-core,"readdirSync, eval, ",0
echarts,"readdirSync, readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, get, from, from, from, from, ",0
gaze,"readdirSync, readdirSync, readdir, ",0
antd,"Proxy, Proxy, Proxy, ",0
nodemailer,"from, from, from, from, from, from, from, from, from, from, from, from, from, createReadStream, write, ",0
tar,"readFileSync, readSync, readSync, read, read, read, from, ",0
eslint-plugin-node,"readFileSync, readdirSync, readFileSync, readdirSync, ",0
eslint-module-utils,"readFileSync, readdirSync, ",0
xo,"readFileSync, readFileSync, readFileSync, Proxy, ",0
winston,"read, read, createReadStream, from, ",0
